_Time,Message Type,Core,apn1I,MDN,IMEI,APN,IP,Download,Upload,Service,Rule,eNB,Sector,Sy Counter ID,Sy Value,Sy Result Code
6/8/2018 16:10:17,GX_RAR,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn2,10.xx.xx.xx,4096000,4096000,service4,rule 6,XXXX,1,,,
6/8/2018 16:10:17,SubscribeService,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,,,,,,service4,,,,,,
6/8/2018 16:10:17,Sy_SLR_Initial,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,,,,,,,,,,Sy_Counter1,1,2001
6/8/2018 16:15:51,Sy_STR,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,,,,,,,,,,,,2001
6/8/2018 16:15:54,GX_CCR_INITIAL,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn2,10.xx.xx.xx,1024000,1024000,service4,rule 7,XXXX,1,,,
6/8/2018 16:15:54,GX_CCR_INITIAL,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn2,10.xx.xx.xx,1024000,1024000,service4,rule 7_QoS,XXXX,1,,,
6/8/2018 16:15:54,Sy_SLR_Initial,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,,,,,,,,,,Sy_Counter1,1,2001
6/8/2018 16:17:20,GX_RAR,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn2,10.xx.xx.xx,4096000,4096000,service4,rule 6,XXXX,1,,,
6/8/2018 16:17:20,Sy_SNR,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,,,,,,,,,,Sy_Counter1,1,0
6/8/2018 16:20:09,Sy_STR,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,,,,,,,,,,,,2001
6/8/2018 16:21:10,GX_CCR_INITIAL,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn2,10.xx.xx.xx,1024000,1024000,service4,rule 7,XXXX,1,,,
6/8/2018 16:21:10,GX_CCR_INITIAL,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn2,10.xx.xx.xx,1024000,1024000,service4,rule 7_QoS,XXXX,1,,,
6/8/2018 16:21:10,Sy_SLR_Initial,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,,,,,,,,,,Sy_Counter1,1,2001
6/8/2018 16:22:33,GX_RAR,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn2,10.xx.xx.xx,4096000,4096000,service4,rule 6,XXXX,1,,,
6/8/2018 16:22:33,Sy_SNR,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,,,,,,,,,,Sy_Counter1,1,0
6/8/2018 16:47:43,Sy_STR,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,,,,,,,,,,,,2001
6/8/2018 16:47:46,GX_CCR_INITIAL,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn2,10.xx.xx.xx,4096000,4096000,service4,rule 8_default,XXXX,1,,,
6/8/2018 16:47:46,GX_CCR_INITIAL,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn2,10.xx.xx.xx,4096000,4096000,service4,rule 8_out,XXXX,1,,,
6/8/2018 16:47:46,GX_CCR_INITIAL,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn2,10.xx.xx.xx,4096000,4096000,service4,rule 6,XXXX,1,,,
6/8/2018 16:47:46,Sy_SLR_Initial,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,,,,,,,,,,Sy_Counter1,1,2001
